yri	chb

//

14,0	6,4
14,0	9,1
13,1	10,0
14,0	9,1
1,13	10,0
14,0	0,10
14,0	7,3
13,1	10,0
14,0	9,1
10,4	10,0
14,0	0,10
10,4	10,0
14,0	9,1
13,1	10,0
13,1	10,0
3,11	10,0
14,0	9,1
12,2	10,0
3,11	0,10
12,2	10,0
13,1	10,0
14,0	9,1
3,11	0,10
12,2	10,0
10,4	10,0
14,0	9,1
8,6	0,10
14,0	9,1
14,0	2,8
14,0	9,1
14,0	9,1
13,1	0,10
9,5	10,0
9,5	10,0
14,0	8,2
14,0	9,1
13,1	10,0
1,13	10,0
1,13	10,0
12,2	10,0
14,0	9,1
14,0	9,1
1,13	10,0
14,0	7,3
14,0	0,10
13,1	10,0
11,3	10,0
13,1	10,0
14,0	9,1
14,0	9,1
14,0	6,4
11,3	0,10
14,0	7,3
12,2	10,0
14,0	4,6
12,2	10,0
12,2	10,0
14,0	4,6
14,0	8,2
14,0	0,10
13,1	10,0
14,0	9,1
13,1	10,0
14,0	8,2
10,4	10,0
11,3	10,0
14,0	9,1
14,0	9,1
11,3	0,10
11,3	0,10
14,0	9,1
11,3	10,0
14,0	9,1
11,3	10,0
14,0	8,2
12,2	4,6
12,2	10,0
14,0	4,6
2,12	10,0
10,4	10,0
12,2	10,0
2,12	4,6
12,2	10,0
14,0	6,4
0,14	10,0
14,0	7,3
14,0	9,1
0,14	3,7
14,0	9,1
14,0	9,1
14,0	9,1
14,0	6,4
14,0	9,1
14,0	9,1
14,0	9,1
14,0	8,2
13,1	10,0
14,0	9,1
12,2	10,0
14,0	9,1
14,0	9,1
14,0	7,3
14,0	8,2
14,0	8,2
9,5	10,0
14,0	9,1
14,0	8,2
14,0	8,2
13,1	10,0
14,0	7,3
14,0	9,1
13,1	10,0
12,2	10,0
1,13	10,0
12,2	10,0
14,0	5,5
0,14	10,0
14,0	9,1
14,0	9,1
13,1	10,0
14,0	8,2
0,14	10,0
13,1	10,0
12,2	10,0
13,1	10,0
14,0	8,2
13,1	10,0
0,14	10,0
14,0	0,10
14,0	5,5
14,0	7,3
1,13	0,10
13,1	10,0
11,3	10,0
12,2	10,0
13,1	10,0
14,0	9,1
0,14	2,8
14,0	8,2
14,0	8,2
14,0	8,2
14,0	2,8
13,1	10,0
14,0	6,4
8,6	10,0
14,0	6,4
12,2	10,0
1,13	10,0
13,1	10,0
0,14	4,6
0,14	4,6
14,0	8,2
14,0	9,1
1,13	10,0
14,0	9,1
14,0	9,1
14,0	9,1
14,0	6,4
9,5	10,0
14,0	9,1
14,0	8,2
12,2	10,0
14,0	9,1
1,13	10,0
14,0	8,2
13,1	10,0
14,0	6,4
1,13	4,6
12,2	10,0
9,5	10,0
14,0	6,4
13,1	10,0
14,0	3,7
14,0	8,2
13,1	10,0
7,7	10,0
9,5	10,0
10,4	10,0
0,14	7,3
9,5	10,0
14,0	9,1
14,0	9,1
9,5	10,0
14,0	9,1
10,4	10,0
7,7	9,1
14,0	9,1
7,7	10,0
14,0	8,2
9,5	10,0
14,0	0,10
0,14	10,0
14,0	6,4
13,1	10,0
14,0	0,10
14,0	0,10
5,9	10,0
14,0	9,1
0,14	4,6
13,1	10,0
